EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
121752,C,Tue,11,478.46153846153845
121752,C,Tue,12,560.3076923076923
121752,C,Tue,13,509.46153846153845
121752,C,Tue,14,532.8461538461538
121752,C,Tue,15,575.6923076923077
121752,C,Tue,16,651.4615384615385
121752,C,Tue,17,1063.0
121752,C,Tue,18,1420.7692307692307
121752,C,Tue,19,1156.2307692307693
121752,C,Tue,20,698.6153846153846
121752,C,Tue,21,407.3076923076923
121752,C,Tue,22,326.7692307692308
121752,C,Tue,23,262.38461538461536
121752,C,Wed,0,168.16666666666666
121752,C,Wed,1,68.66666666666667
121752,C,Wed,2,33.083333333333336
121752,C,Wed,3,22.416666666666668
121752,C,Wed,4,18.75
121752,C,Wed,5,19.75
121752,C,Wed,6,58.916666666666664
121752,C,Wed,7,219.25
121752,C,Wed,8,639.5
121752,C,Wed,9,474.8333333333333
121752,C,Wed,10,365.0833333333333
121752,C,Wed,11,403.25
121752,C,Wed,12,474.0
121752,C,Wed,13,434.25
121752,C,Wed,14,455.8333333333333
121752,C,Wed,15,469.8333333333333
121752,C,Wed,16,555.5833333333334
121752,C,Wed,17,903.0833333333334
121752,C,Wed,18,1241.5833333333333
121752,C,Wed,19,1012.0
121752,C,Wed,20,589.3333333333334
121752,C,Wed,21,329.5833333333333
121752,C,Wed,22,255.41666666666666
121752,C,Wed,23,237.5
121752,D,Fri,0,66.84615384615384
121752,D,Fri,1,28.076923076923077
121752,D,Fri,2,15.615384615384615
121752,D,Fri,3,13.153846153846153
121752,D,Fri,4,29.076923076923077
121752,D,Fri,5,89.0
121752,D,Fri,6,197.84615384615384
121752,D,Fri,7,955.5384615384615
121752,D,Fri,8,1549.076923076923
121752,D,Fri,9,920.0
121752,D,Fri,10,593.7692307692307
121752,D,Fri,11,485.0769230769231
121752,D,Fri,12,528.4615384615385
121752,D,Fri,13,684.3846153846154
121752,D,Fri,14,797.2307692307693
121752,D,Fri,15,644.4615384615385
121752,D,Fri,16,606.6153846153846
121752,D,Fri,17,693.5384615384615
121752,D,Fri,18,802.0769230769231
121752,D,Fri,19,704.2307692307693
121752,D,Fri,20,559.1538461538462
121752,D,Fri,21,426.61538461538464
121752,D,Fri,22,281.46153846153845
121752,D,Fri,23,211.0
121752,D,Mon,0,70.23076923076923
121752,D,Mon,1,30.53846153846154
121752,D,Mon,2,15.23076923076923
121752,D,Mon,3,15.307692307692308
121752,D,Mon,4,30.0
121752,D,Mon,5,105.15384615384616
121752,D,Mon,6,231.6153846153846
121752,D,Mon,7,1079.923076923077
121752,D,Mon,8,1725.2307692307693
121752,D,Mon,9,1047.5384615384614
121752,D,Mon,10,656.2307692307693
121752,D,Mon,11,505.84615384615387
121752,D,Mon,12,514.3846153846154
121752,D,Mon,13,697.0
121752,D,Mon,14,763.0
121752,D,Mon,15,594.0769230769231
121752,D,Mon,16,560.5384615384615
121752,D,Mon,17,668.8461538461538
121752,D,Mon,18,777.6923076923077
121752,D,Mon,19,606.5384615384615
121752,D,Mon,20,424.38461538461536
121752,D,Mon,21,311.46153846153845
121752,D,Mon,22,206.46153846153845
121752,D,Mon,23,131.07692307692307
121752,D,Thu,0,76.84615384615384
121752,D,Thu,1,48.30769230769231
121752,D,Thu,2,27.0
121752,D,Thu,3,19.307692307692307
121752,D,Thu,4,28.23076923076923
121752,D,Thu,5,85.0
121752,D,Thu,6,198.92307692307693
121752,D,Thu,7,876.0
121752,D,Thu,8,1376.076923076923
121752,D,Thu,9,845.6153846153846
121752,D,Thu,10,575.0769230769231
121752,D,Thu,11,461.53846153846155
121752,D,Thu,12,483.2307692307692
121752,D,Thu,13,636.6153846153846
121752,D,Thu,14,702.8461538461538
121752,D,Thu,15,560.3846153846154
